Genuine Balloonicorn | 38 ref
restriction Gold Botkiller Minigun Mk.I | 41 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 76 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.1833333333333 ref
restriction Gold Botkiller Scattergun Mk.I | 69.85 ref
restriction Gold Botkiller Scattergun Mk.II | 44.3333333333333 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 72 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 53.3333333333333 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 41.59 ref
restriction Gold Botkiller Wrench Mk.I | 82.6666666666667 ref
restriction Gold Botkiller Wrench Mk.II | 57 ref
restriction Gone Commando | 35 ref
restriction Australium Grenade Launcher | 332.333333333333 ref
restriction Ground Control | 38 ref
restriction Gunslinger | 342 ref
Halloween Spell: Bruised Purple Footprints | 95 ref
Halloween Spell: Headless Horseshoes | 228 ref
Halloween Spell: Soldier's Booming Bark | 34.6666666666667 ref
Halloween Spell: Spectral Flame | 44.3333333333333 ref
Halloween Spell: Squash Rockets | 35.3333333333333 ref
restriction Holy Mackerel | 42.8866666666667 ref
restriction Huntsman | 71.6666666666667 ref
restriction Invis Watch | 38.6666666666667 ref
restriction Australium Knife | 370.666666666667 ref
restriction Kritzkrieg | 342.333333333333 ref
restriction Loose Cannon | 53.6666666666667 ref
Vintage Lugermorph | 109.22 ref
restriction Machina | 228 ref
Mann Co. Supply Crate Key | 19 ref
restriction Mann of the Seven Sees | 38 ref
Max's Severed Head | 446.666666666667 ref
restriction Australium Medi Gun | 475 ref
Genuine Merc's Pride Scarf | 47.3333333333333 ref
restriction Australium Minigun | 399 ref
restriction Original | 85.3333333333333 ref
Genuine Point and Shoot | 32.3333333333333 ref
restriction Pyromancer's Hood | 29.11 ref
restriction Righteous Bison | 56.6666666666667 ref
Non-Craftable restriction Righteous Bison | 98.3333333333333 ref
restriction Australium Rocket Launcher | 912 ref
restriction Australium SMG | 169.666666666667 ref
restriction Sangu Sleeves | 44.3333333333333 ref
restriction Australium Scattergun | 639.666666666667 ref
Genuine Sharp Dresser | 57 ref
Genuine Shred Alert | 32.3333333333333 ref
restriction Sight for Sore Eyes | 57 ref
restriction Snack Attack | 57 ref
restriction Australium Sniper Rifle | 627 ref
restriction Snow Sleeves | 38 ref
restriction Sole Mate | 38 ref
Spine-Chilling Skull | 42.3333333333333 ref
Non-Craftable Spine-Chilling Skull | 38 ref
Strange Part: Airborne Enemies Killed | 38 ref
Strange Part: Allied Healing Done | 38 ref
Strange Part: Critical Kills | 63.3333333333333 ref
Strange Part: Damage Dealt | 111 ref
Strange Part: Domination Kills | 61.6666666666667 ref
Strange Part: Kills with a Taunt Attack | 38 ref
Strange Part: Projectiles Reflected | 55.3333333333333 ref
Summer Adventure Pack | 34 ref
Taunt: Pool Party | 58.6666666666667 ref
Taunt: The Boston Breakdance | 35.8866666666667 ref
Taunt: The Killer Solo | 32.8333333333333 ref
restriction Texas Ten Gallon | 38 ref
restriction Thermal Tracker | 37.5533333333333 ref
restriction Australium Tomislav | 164 ref
Towering Pillar Of Summer Shades | 304 ref
restriction Trencher's Tunic | 38 ref
restriction Ullapool Caber | 72 ref
Upgrade to Premium Gift | 41.8866666666667 ref
Non-Craftable Voodoo Juju | 57 ref
What's in the Portal 2 Soundtrack Box? | 50.6666666666667 ref
restriction Australium Wrench | 440.333333333333 ref
A Distinctive Lack of Hue | 42.18 ref
Non-Craftable A Random Duck Token Gift | 63.3333333333333 ref
restriction AWPer Hand | 238 ref
restriction All-Father | 95 ref
restriction Australium Ambassador | 287.666666666667 ref
An Extraordinary Abundance of Tinge | 41 ref
restriction Antarctic Researcher | 57.8866666666667 ref
Genuine Archimedes | 44 ref
restriction Australium Axtinguisher | 151.333333333333 ref
Genuine Balloonicorn | 38 ref
Bill's Hat | 41 ref
restriction Australium Black Box | 344.333333333333 ref
restriction Blood Botkiller Knife Mk.I | 34.3333333333333 ref
restriction Blood Botkiller Medi Gun Mk.I | 36.3333333333333 ref
restriction Blood Botkiller Minigun Mk.I | 29 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 57 ref
restriction Blood Botkiller Scattergun Mk.I | 59 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 57 ref
restriction Australium Blutsauger | 190 ref
restriction Bonk Boy | 76 ref
Genuine Buck Turner All-Stars | 37.6666666666667 ref
restriction Cold Snap Coat | 93.3333333333333 ref
restriction Construction PDA | 150.666666666667 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 44.3333333333333 ref
restriction Diamond Botkiller Scattergun Mk.I | 38 ref
restriction Diamond Botkiller Wrench Mk.I | 33 ref
restriction Disciplinary Action | 31.6666666666667 ref
Dr. Grordbort's Silver Crest | 32.1466666666667 ref
Earbuds | 57 ref
Genuine El Jefe | 37 ref
restriction Australium Eyelander | 671.333333333333 ref
restriction Festive Ambassador | 74.3333333333333 ref
restriction Festive Bat | 190 ref
restriction Festive Black Box | 43.6666666666667 ref
restriction Festive Buff Banner | 38 ref
restriction Festive Eyelander | 41.3333333333333 ref
restriction Festive Flame Thrower | 109.666666666667 ref
restriction Festive Grenade Launcher | 76 ref
restriction Festive Holy Mackerel | 38.6666666666667 ref
restriction Festive Huntsman | 111.776666666667 ref
restriction Festive Knife | 190 ref
restriction Festive Medi Gun | 456 ref
restriction Festive Minigun | 188.666666666667 ref
restriction Festive Rocket Launcher | 348.333333333333 ref
restriction Festive Sandvich | 75.22 ref
restriction Festive Scattergun | 380 ref
restriction Festive Shotgun | 56.6666666666667 ref
restriction Festive Sniper Rifle | 263 ref
restriction Festive Stickybomb Launcher | 149 ref
restriction Festive Ubersaw | 62.3333333333333 ref
restriction Festive Wrench | 237.333333333333 ref
Fireproof Secret Diary | 285 ref
restriction Australium Flame Thrower | 283.666666666667 ref
restriction Australium Force-A-Nature | 259.666666666667 ref
restriction Australium Frontier Justice | 209 ref
restriction Frying Pan | 132 ref
restriction Gold Botkiller Flame Thrower Mk.I | 29.8866666666667 ref
restriction Gold Botkiller Knife Mk.I | 37.3333333333333 ref
restriction Gold Botkiller Knife Mk.II | 32.3333333333333 ref
restriction Gold Botkiller Medi Gun Mk.II | 38 ref
restriction Gold Botkiller Minigun Mk.I | 41 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 76 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.1833333333333 ref
restriction Gold Botkiller Scattergun Mk.I | 69.85 ref
restriction Gold Botkiller Scattergun Mk.II | 44.3333333333333 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 72 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 53.3333333333333 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 41.59 ref
restriction Gold Botkiller Wrench Mk.I | 82.6666666666667 ref
restriction Gold Botkiller Wrench Mk.II | 57 ref
restriction Gone Commando | 35 ref
restriction Australium Grenade Launcher | 326.333333333333 ref
restriction Ground Control | 38 ref
restriction Gunslinger | 342 ref
Halloween Spell: Bruised Purple Footprints | 95 ref
Halloween Spell: Headless Horseshoes | 228 ref
Halloween Spell: Soldier's Booming Bark | 34.6666666666667 ref
Halloween Spell: Spectral Flame | 44.3333333333333 ref
Halloween Spell: Squash Rockets | 35.3333333333333 ref
restriction Holy Mackerel | 42.8866666666667 ref
restriction Huntsman | 71.6666666666667 ref
restriction Invis Watch | 38.6666666666667 ref
restriction Australium Knife | 370.666666666667 ref
restriction Kritzkrieg | 342.333333333333 ref
restriction Loose Cannon | 53.6666666666667 ref
Vintage Lugermorph | 109.22 ref
restriction Machina | 228 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 628.444444444446 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 32 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 57.6666666666668 ref
Taunt: The Boston Breakdance | 35.5533333333334 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
restriction Australium Tomislav | 161.333333333334 ref
Towering Pillar Of Summer Shades | 298.666666666667 ref
restriction Trencher's Tunic | 37.3333333333334 ref
restriction Ullapool Caber | 71.0000000000001 ref
Upgrade to Premium Gift | 41.2200000000001 ref
Non-Craftable Voodoo Juju | 56.0000000000001 ref
What's in the Portal 2 Soundtrack Box? | 49.7777777777779 ref
restriction Australium Wrench | 432.666666666667 ref
A Distinctive Lack of Hue | 41.5133333333334 ref
Non-Craftable A Random Duck Token Gift | 62.2222222222223 ref
restriction AWPer Hand | 236.666666666667 ref
restriction All-Father | 93.3333333333335 ref
restriction Australium Ambassador | 282.666666666667 ref
An Extraordinary Abundance of Tinge | 40.3333333333334 ref
restriction Antarctic Researcher | 56.8866666666668 ref
Genuine Archimedes | 43.3333333333334 ref
restriction Australium Axtinguisher | 148.888888888889 ref
Genuine Balloonicorn | 37.3333333333334 ref
Bill's Hat | 40.5555555555556 ref
restriction Australium Black Box | 338.333333333334 ref
restriction Blood Botkiller Knife Mk.I | 31.2222222222223 ref
restriction Blood Botkiller Medi Gun Mk.I | 35.8888888888889 ref
restriction Blood Botkiller Minigun Mk.I | 28.5555555555556 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Scattergun Mk.I | 58.1111111111112 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 56.0000000000001 ref
restriction Australium Blutsauger | 186.666666666667 ref
restriction Bonk Boy | 74.6666666666668 ref
Genuine Buck Turner All-Stars | 37.1111111111112 ref
restriction Cold Snap Coat | 91.888888888889 ref
restriction Construction PDA | 148.111111111111 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 43.6666666666667 ref
restriction Diamond Botkiller Scattergun Mk.I | 37.3333333333334 ref
restriction Diamond Botkiller Wrench Mk.I | 32.6666666666667 ref
restriction Disciplinary Action | 31.2222222222223 ref
Dr. Grordbort's Silver Crest | 31.8133333333334 ref
Earbuds | 56.0000000000001 ref
Genuine El Jefe | 36.5555555555556 ref
restriction Australium Eyelander | 659.555555555557 ref
restriction Festive Ambassador | 73.6666666666667 ref
restriction Festive Bat | 186.666666666667 ref
restriction Festive Black Box | 43.0000000000001 ref
restriction Festive Buff Banner | 37.3333333333334 ref
restriction Festive Eyelander | 40.6666666666667 ref
restriction Festive Flame Thrower | 108 ref
restriction Festive Grenade Launcher | 74.6666666666668 ref
restriction Festive Holy Mackerel | 38.0000000000001 ref
restriction Festive Huntsman | 110.11 ref
restriction Festive Knife | 186.666666666667 ref
restriction Festive Medi Gun | 448.000000000001 ref
restriction Festive Minigun | 185.444444444445 ref
restriction Festive Rocket Launcher | 342.222222222223 ref
restriction Festive Sandvich | 74.4422222222223 ref
restriction Festive Scattergun | 373.333333333334 ref
restriction Festive Shotgun | 55.7777777777779 ref
restriction Festive Sniper Rifle | 258.444444444445 ref
restriction Festive Stickybomb Launcher | 146.444444444445 ref
restriction Festive Ubersaw | 61.3333333333334 ref
restriction Festive Wrench | 233.222222222223 ref
Fireproof Secret Diary | 280.000000000001 ref
restriction Australium Flame Thrower | 278.777777777778 ref
restriction Australium Force-A-Nature | 255.333333333334 ref
restriction Australium Frontier Justice | 205.333333333334 ref
restriction Frying Pan | 129.777777777778 ref
restriction Gold Botkiller Knife Mk.I | 36.7777777777778 ref
restriction Gold Botkiller Knife Mk.II | 32.2222222222222 ref
restriction Gold Botkiller Medi Gun Mk.II | 37.3333333333334 ref
restriction Gold Botkiller Minigun Mk.I | 40.3333333333334 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 74.6666666666668 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 45.5166666666667 ref
restriction Gold Botkiller Scattergun Mk.I | 74.9611111111112 ref
restriction Gold Botkiller Scattergun Mk.II | 43.6666666666667 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 71.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 52.6666666666667 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.9233333333334 ref
restriction Gold Botkiller Wrench Mk.I | 81.3333333333335 ref
restriction Gold Botkiller Wrench Mk.II | 56.0000000000001 ref
restriction Gone Commando | 34.6666666666667 ref
restriction Australium Grenade Launcher | 320.666666666667 ref
restriction Ground Control | 37.3333333333334 ref
restriction Gunslinger | 336.000000000001 ref
Halloween Spell: Bruised Purple Footprints | 93.3333333333335 ref
Halloween Spell: Headless Horseshoes | 224 ref
Halloween Spell: Soldier's Booming Bark | 34.1111111111112 ref
Halloween Spell: Spectral Flame | 43.5555555555556 ref
Halloween Spell: Squash Rockets | 34.8888888888889 ref
restriction Holy Mackerel | 42.2200000000001 ref
restriction Huntsman | 70.6666666666668 ref
restriction Invis Watch | 38.0000000000001 ref
restriction Australium Knife | 364.222222222223 ref
restriction Kritzkrieg | 336.444444444445 ref
restriction Loose Cannon | 52.888888888889 ref
Vintage Lugermorph | 107.553333333334 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 628.444444444446 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 32 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 56.0000000000001 ref
Taunt: The Boston Breakdance | 35.5533333333334 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
